filename	date	fastq_ftp	plant	is_enriched
SRR14530801_2.fastq.gz	2020-10-27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/001/SRR14530801/SRR14530801_2.fastq.gz	HTP	1
SRR14530847_1.fastq.gz	2020-11-03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/047/SRR14530847/SRR14530847_1.fastq.gz	HTP	1
SRR14530847_2.fastq.gz	2020-11-03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/047/SRR14530847/SRR14530847_2.fastq.gz	HTP	1
SRR14530888_1.fastq.gz	2020-11-03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/088/SRR14530888/SRR14530888_1.fastq.gz	HTP	0
SRR14530888_2.fastq.gz	2020-11-03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/088/SRR14530888/SRR14530888_2.fastq.gz	HTP	0
SRR14530890_1.fastq.gz	2020-11-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/090/SRR14530890/SRR14530890_1.fastq.gz	HTP	0
SRR14530890_2.fastq.gz	2020-11-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/090/SRR14530890/SRR14530890_2.fastq.gz	HTP	0
SRR14530848_1.fastq.gz	2020-11-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/048/SRR14530848/SRR14530848_1.fastq.gz	HTP	1
SRR14530848_2.fastq.gz	2020-11-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/048/SRR14530848/SRR14530848_2.fastq.gz	HTP	1
SRR14530889_1.fastq.gz	2020-11-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/089/SRR14530889/SRR14530889_1.fastq.gz	HTP	0
SRR14530889_2.fastq.gz	2020-11-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/089/SRR14530889/SRR14530889_2.fastq.gz	HTP	0
SRR14530887_1.fastq.gz	2020-12-01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/087/SRR14530887/SRR14530887_1.fastq.gz	HTP	0
SRR14530887_2.fastq.gz	2020-12-01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/087/SRR14530887/SRR14530887_2.fastq.gz	HTP	0
SRR14530846_1.fastq.gz	2020-12-04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/046/SRR14530846/SRR14530846_1.fastq.gz	HTP	1
SRR14530846_2.fastq.gz	2020-12-04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/046/SRR14530846/SRR14530846_2.fastq.gz	HTP	1
SRR14530886_1.fastq.gz	2020-12-04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/086/SRR14530886/SRR14530886_1.fastq.gz	HTP	0
SRR14530886_2.fastq.gz	2020-12-04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/086/SRR14530886/SRR14530886_2.fastq.gz	HTP	0
SRR14530885_1.fastq.gz	2020-12-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/085/SRR14530885/SRR14530885_1.fastq.gz	HTP	0
SRR14530885_2.fastq.gz	2020-12-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/085/SRR14530885/SRR14530885_2.fastq.gz	HTP	0
SRR14530845_1.fastq.gz	2020-12-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/045/SRR14530845/SRR14530845_1.fastq.gz	HTP	1
SRR14530845_2.fastq.gz	2020-12-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/045/SRR14530845/SRR14530845_2.fastq.gz	HTP	1
SRR14530884_1.fastq.gz	2020-12-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/084/SRR14530884/SRR14530884_1.fastq.gz	HTP	0
SRR14530884_2.fastq.gz	2020-12-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/084/SRR14530884/SRR14530884_2.fastq.gz	HTP	0
SRR14530844_1.fastq.gz	2020-12-29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/044/SRR14530844/SRR14530844_1.fastq.gz	HTP	1
